,name,raw_wp_url
99,ontology,https://whitepaper.io/document/580/ontology-whitepaper
100,siacoin,https://whitepaper.io/document/17/siacoin-whitepaper
101,swipe,https://whitepaper.io/document/505/swipe-whitepaper
102,audius,https://whitepaper.io/document/663/audius-whitepaper
103,polymath,https://whitepaper.io/document/57/polymath-whitepaper
104,voyager_token,https://whitepaper.io/document/638/voyager-token-whitepaper
105,chia_network,https://whitepaper.io/document/759/chia-network-whitepaper
106,ergo_1,https://whitepaper.io/document/753/ergo-1-whitepaper
107,secret,https://whitepaper.io/document/733/secret-whitepaper
108,swissborg,https://whitepaper.io/document/593/swissborg-whitepaper
109,uma,https://whitepaper.io/document/620/uma-whitepaper
110,digibyte,https://whitepaper.io/document/647/digibyte-whitepaper
111,skale_network,https://whitepaper.io/document/670/skale-network-whitepaper
112,civic,https://whitepaper.io/document/607/civic-whitepaper
113,keep_network,https://whitepaper.io/document/667/keep-network-whitepaper
114,storj,https://whitepaper.io/document/0/storj-whitepaper
115,medibloc,https://whitepaper.io/document/176/medibloc-whitepaper
116,ceek_vr,https://whitepaper.io/document/298/ceek-vr-whitepaper
117,ultra,https://whitepaper.io/document/570/ultra-whitepaper
118,humanscape,https://whitepaper.io/document/449/humanscape-whitepaper
119,stasis_euro,https://whitepaper.io/document/748/stasis-euro-whitepaper
120,request_network,https://whitepaper.io/document/102/request-network-whitepaper
121,energy_web_token,https://whitepaper.io/document/601/energy-web-token-whitepaper
122,tribe,https://whitepaper.io/document/0/tribe-whitepaper
123,syscoin,https://whitepaper.io/document/53/syscoin-whitepaper
124,maidsafecoin,https://whitepaper.io/document/368/maidsafecoin-whitepaper
125,conflux_network,https://whitepaper.io/document/717/conflux-network-whitepaper
126,bitcoin_standard_hashrate_token,https://whitepaper.io/document/731/bitcoin-standard-hashrate-token-whitepaper
127,ren,https://whitepaper.io/document/419/ren-whitepaper
128,celer_network,https://whitepaper.io/document/409/celer-network-whitepaper
129,coti,https://whitepaper.io/document/592/coti-whitepaper
130,mvl,https://whitepaper.io/document/610/mvl-whitepaper
131,wink,https://whitepaper.io/document/497/wink-whitepaper
132,status,https://whitepaper.io/document/23/status-whitepaper
133,power_ledger,https://whitepaper.io/document/83/power-ledger-whitepaper
134,avinoc,https://whitepaper.io/document/0/avinoc-whitepaper
135,ardor,https://whitepaper.io/document/35/ardor-whitepaper
136,velas,https://whitepaper.io/document/564/velas-whitepaper
137,orbs,https://whitepaper.io/document/398/orbs-whitepaper
138,reef,https://whitepaper.io/document/619/reef-whitepaper
139,prometeus,https://whitepaper.io/document/664/prometeus-whitepaper
140,function_x,https://whitepaper.io/document/534/function-x-whitepaper
141,uquid_coin,https://whitepaper.io/document/324/uquid-coin-whitepaper
142,ocean_protocol,https://whitepaper.io/document/595/ocean-protocol-whitepaper
143,dent,https://whitepaper.io/document/112/dent-whitepaper
144,iexec,https://whitepaper.io/document/79/iexec-whitepaper
145,numeraire,https://whitepaper.io/document/330/numeraire-whitepaper
146,dexe,https://whitepaper.io/document/0/dexe-whitepaper
147,everscale,https://whitepaper.io/document/0/everscale-whitepaper
148,api3,https://whitepaper.io/document/736/api3-whitepaper
149,steem,https://whitepaper.io/document/15/steem-whitepaper
150,telcoin,https://whitepaper.io/document/154/telcoin-whitepaper
151,cartesi,https://whitepaper.io/document/659/cartesi-whitepaper
152,funfair,https://whitepaper.io/document/46/funfair-whitepaper
153,bancor,https://whitepaper.io/document/52/bancor-whitepaper
154,constellation,https://whitepaper.io/document/352/constellation-whitepaper
155,quarkchain,https://whitepaper.io/document/135/quarkchain-whitepaper
156,chromia,https://whitepaper.io/document/737/chromia-whitepaper
157,wazirx,https://whitepaper.io/document/538/wazirx-whitepaper
158,augur,https://whitepaper.io/document/29/augur-whitepaper
159,raydium,https://whitepaper.io/document/662/raydium-whitepaper
160,xyo,https://whitepaper.io/document/0/xyo-whitepaper
161,rakon,https://whitepaper.io/document/0/rakon-whitepaper
162,bifrost,https://whitepaper.io/document/0/bifrost-whitepaper
163,decimal,https://whitepaper.io/document/0/decimal-whitepaper
164,metal,https://whitepaper.io/document/440/metal-whitepaper
165,whitecoin,https://whitepaper.io/document/628/whitecoin-whitepaper
166,nest_protocol,https://whitepaper.io/document/0/nest-protocol-whitepaper
167,orchid,https://whitepaper.io/document/566/orchid-whitepaper
168,adshares,https://whitepaper.io/document/465/adshares-whitepaper
169,aelf,https://whitepaper.io/document/33/aelf-whitepaper
170,stratis,https://whitepaper.io/document/0/stratis-whitepaper
171,nkn,https://whitepaper.io/document/148/nkn-whitepaper
172,insure_defi,https://whitepaper.io/document/738/insure-defi-whitepaper
173,origintrail,https://whitepaper.io/document/144/origintrail-whitepaper
174,creditcoin,https://whitepaper.io/document/654/creditcoin-whitepaper
175,fetch,https://whitepaper.io/document/447/fetch-whitepaper
176,world_mobile_token,https://whitepaper.io/document/0/world-mobile-token-whitepaper
177,mdex,https://whitepaper.io/document/719/mdex-whitepaper
178,utrust,https://whitepaper.io/document/198/utrust-whitepaper
179,vai,https://whitepaper.io/document/0/vai-whitepaper
180,rif_token,https://whitepaper.io/document/405/rif-token-whitepaper
181,venus,https://whitepaper.io/document/644/venus-whitepaper
182,propy,https://whitepaper.io/document/288/propy-whitepaper
183,aergo,https://whitepaper.io/document/494/aergo-whitepaper
184,ark,https://whitepaper.io/document/40/ark-whitepaper
185,wirex,https://whitepaper.io/document/463/wirex-whitepaper
186,myneighboralice,https://whitepaper.io/document/682/myneighboralice-whitepaper
187,alchemy_pay,https://whitepaper.io/document/0/alchemy-pay-whitepaper
188,verge,https://whitepaper.io/document/12/verge-whitepaper
189,sologenic,https://whitepaper.io/document/666/sologenic-whitepaper
190,glitzkoin,https://whitepaper.io/document/520/glitzkoin-whitepaper
191,hedgetrade,https://whitepaper.io/document/579/hedgetrade-whitepaper
192,sun,https://whitepaper.io/document/661/sun-whitepaper
193,centrality,https://whitepaper.io/document/47/centrality-whitepaper
194,celo_dollar,https://whitepaper.io/document/747/celo-dollar-whitepaper
195,moviebloc,https://whitepaper.io/document/536/moviebloc-whitepaper
196,mainframe,https://whitepaper.io/document/341/mainframe-whitepaper
197,conun,https://whitepaper.io/document/611/conun-whitepaper
198,somesing,https://whitepaper.io/document/0/somesing-whitepaper
199,thundercore,https://whitepaper.io/document/458/thundercore-whitepaper
200,melon,https://whitepaper.io/document/227/melon-whitepaper
201,polkastarter,https://whitepaper.io/document/651/polkastarter-whitepaper
202,dusk_network,https://whitepaper.io/document/545/dusk-network-whitepaper
203,chainbing,https://whitepaper.io/document/0/chainbing-whitepaper
204,verasity,https://whitepaper.io/document/0/verasity-whitepaper
205,sport_and_leisure,https://whitepaper.io/document/574/sport-and-leisure-whitepaper
206,mines_of_dalarnia,https://whitepaper.io/document/0/mines-of-dalarnia-whitepaper
207,ampleforth,https://whitepaper.io/document/585/ampleforth-whitepaper
208,gxchain,https://whitepaper.io/document/397/gxchain-whitepaper
209,neblio,https://whitepaper.io/document/101/neblio-whitepaper
210,strike,https://whitepaper.io/document/0/strike-whitepaper
211,phala_network,https://whitepaper.io/document/640/phala-network-whitepaper
212,dkargo,https://whitepaper.io/document/656/dkargo-whitepaper
213,yield_guild_games,https://whitepaper.io/document/0/yield-guild-games-whitepaper
214,cocos_bcx,https://whitepaper.io/document/614/cocos-bcx-whitepaper
215,band_protocol,https://whitepaper.io/document/589/band-protocol-whitepaper
216,tomochain,https://whitepaper.io/document/175/tomochain-whitepaper
217,smartofgiving,https://whitepaper.io/document/0/smartofgiving-whitepaper
218,klever,https://whitepaper.io/document/713/klever-whitepaper
219,qcash,https://whitepaper.io/document/749/qcash-whitepaper
220,safepal,https://whitepaper.io/document/730/safepal-whitepaper
221,wanchain,https://whitepaper.io/document/712/wanchain-whitepaper
222,bitshares,https://whitepaper.io/document/388/bitshares-whitepaper
223,super_zero,https://whitepaper.io/document/532/super-zero-whitepaper
224,carry,https://whitepaper.io/document/556/carry-whitepaper
225,lina,https://whitepaper.io/document/487/lina-whitepaper
226,komodo,https://whitepaper.io/document/34/komodo-whitepaper
227,gods_unchained,https://whitepaper.io/document/0/gods-unchained-whitepaper
228,aioz_network,https://whitepaper.io/document/721/aioz-network-whitepaper
229,platon,https://whitepaper.io/document/0/platon-whitepaper
230,syntropy,https://whitepaper.io/document/652/syntropy-whitepaper
231,bitmart,https://whitepaper.io/document/685/bitmart-whitepaper
232,terra_virtua_kolect,https://whitepaper.io/document/742/terra-virtua-kolect-whitepaper
233,hyperion,https://whitepaper.io/document/417/hyperion-whitepaper
